Local Time (Sensor),Date,Time,countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV
03/06/2019 01:00,03/06/2019,01:00:00,S10_EastRoad_CAM003,in,89,9,4,2,1,0,0,5
03/06/2019 01:00,03/06/2019,01:00:00,S10_EastRoad_CAM003,out,51,6,0,0,0,1,0,1
03/06/2019 02:00,03/06/2019,02:00:00,S10_EastRoad_CAM003,in,34,4,1,0,0,0,0,5
03/06/2019 02:00,03/06/2019,02:00:00,S10_EastRoad_CAM003,out,32,5,0,0,1,0,0,5
03/06/2019 03:00,03/06/2019,03:00:00,S10_EastRoad_CAM003,in,42,3,2,0,0,0,0,6
03/06/2019 03:00,03/06/2019,03:00:00,S10_EastRoad_CAM003,out,38,0,1,0,0,1,0,6
03/06/2019 04:00,03/06/2019,04:00:00,S10_EastRoad_CAM003,in,39,2,8,2,0,0,0,5
03/06/2019 04:00,03/06/2019,04:00:00,S10_EastRoad_CAM003,out,68,9,5,3,1,1,0,16
03/06/2019 05:00,03/06/2019,05:00:00,S10_EastRoad_CAM003,in,85,2,9,1,1,3,1,15
03/06/2019 05:00,03/06/2019,05:00:00,S10_EastRoad_CAM003,out,119,8,19,4,1,5,0,34
03/06/2019 06:00,03/06/2019,06:00:00,S10_EastRoad_CAM003,in,161,13,31,1,1,6,3,35
03/06/2019 06:00,03/06/2019,06:00:00,S10_EastRoad_CAM003,out,303,27,38,13,5,13,1,58
03/06/2019 07:00,03/06/2019,07:00:00,S10_EastRoad_CAM003,in,319,34,22,6,11,12,6,86
03/06/2019 07:00,03/06/2019,07:00:00,S10_EastRoad_CAM003,out,561,90,137,21,4,11,1,141
03/06/2019 08:00,03/06/2019,08:00:00,S10_EastRoad_CAM003,in,472,85,47,7,17,11,7,85
03/06/2019 08:00,03/06/2019,08:00:00,S10_EastRoad_CAM003,out,588,164,314,15,4,21,2,136
03/06/2019 09:00,03/06/2019,09:00:00,S10_EastRoad_CAM003,in,462,76,24,10,15,22,8,134
03/06/2019 09:00,03/06/2019,09:00:00,S10_EastRoad_CAM003,out,519,99,190,8,13,25,2,147
03/06/2019 10:00,03/06/2019,10:00:00,S10_EastRoad_CAM003,in,458,54,25,1,16,22,5,121
03/06/2019 10:00,03/06/2019,10:00:00,S10_EastRoad_CAM003,out,488,84,81,13,8,21,3,141
03/06/2019 11:00,03/06/2019,11:00:00,S10_EastRoad_CAM003,in,451,92,32,5,16,21,4,114
03/06/2019 11:00,03/06/2019,11:00:00,S10_EastRoad_CAM003,out,498,82,57,11,13,16,0,119
03/06/2019 12:00,03/06/2019,12:00:00,S10_EastRoad_CAM003,in,539,129,49,10,14,10,3,125
03/06/2019 12:00,03/06/2019,12:00:00,S10_EastRoad_CAM003,out,559,117,57,21,16,18,2,109
03/06/2019 13:00,03/06/2019,13:00:00,S10_EastRoad_CAM003,in,581,138,53,15,11,18,9,102
03/06/2019 13:00,03/06/2019,13:00:00,S10_EastRoad_CAM003,out,512,166,75,29,11,16,0,140
03/06/2019 14:00,03/06/2019,14:00:00,S10_EastRoad_CAM003,in,573,136,42,12,14,7,5,113
03/06/2019 14:00,03/06/2019,14:00:00,S10_EastRoad_CAM003,out,507,152,46,11,11,9,1,101
03/06/2019 15:00,03/06/2019,15:00:00,S10_EastRoad_CAM003,in,580,184,46,17,14,10,6,135
03/06/2019 15:00,03/06/2019,15:00:00,S10_EastRoad_CAM003,out,533,179,70,25,12,14,0,81
